team_id,team,wins,draws,loses,scored,missed,xG,xGA,xpts,pts,npxG,npxGA,npxGD,ppda_att,ppda_def,deep,deep_allowed,season
78,Crystal Palace,0,1,0,0,0,1.03414,1.36793,1.093,1,1.03414,1.36793,-0.33379,335.0,19.0,2,7,2025
80,Chelsea,0,1,0,0,0,1.36793,1.03414,1.6141,1,1.36793,1.03414,0.33379,135.0,23.0,7,2,2025
81,West Ham,0,0,1,0,3,0.558948,0.724368,1.129,0,0.558948,0.724368,-0.16542,165.0,15.0,8,2,2025
82,Tottenham,1,0,0,3,0,1.97858,0.734138,2.3089000000000004,3,1.97858,0.734138,1.244442,108.0,17.0,7,6,2025
83,Arsenal,1,0,0,1,0,1.3304,1.37653,1.3628,3,1.3304,1.37653,-0.04613,259.0,23.0,3,7,2025
86,Newcastle United,0,1,0,0,0,1.40098,0.318601,2.3370999999999995,1,1.40098,0.318601,1.082379,146.0,24.0,6,2,2025
87,Liverpool,1,0,0,4,2,2.33007,1.57303,1.877,3,2.33007,1.57303,0.7570400000000002,149.0,17.0,9,8,2025
88,Manchester City,1,0,0,4,0,2.29903,0.519436,2.643,3,2.29903,0.519436,1.779594,236.0,20.0,8,4,2025
89,Manchester United,0,0,1,0,1,1.37653,1.3304,1.3298,0,1.37653,1.3304,0.04613,166.0,21.0,7,3,2025
92,Burnley,0,0,1,0,3,0.734138,1.97858,0.4918,0,0.734138,1.97858,-1.244442,295.0,17.0,6,7,2025
220,Brighton,0,1,0,1,1,1.44008,0.902883,1.8562,1,0.678909,0.902883,-0.223974,250.0,28.0,5,6,2025
228,Fulham,0,1,0,1,1,0.902883,1.44008,0.835,1,0.902883,0.678909,0.223974,292.0,18.0,6,5,2025
229,Wolverhampton Wanderers,0,0,1,0,4,0.519436,2.29903,0.2391,0,0.519436,2.29903,-1.779594,351.0,29.0,4,8,2025
244,Brentford,0,0,1,1,3,1.32516,1.7555,1.0148,0,0.563994,1.7555,-1.191506,167.0,17.0,3,6,2025
245,Leeds,1,0,0,1,0,2.3812,0.674338,2.5742000000000003,3,1.62003,0.674338,0.945692,251.0,16.0,5,2,2025
249,Nottingham Forest,1,0,0,3,1,1.7555,1.32516,1.6997,3,1.7555,0.563994,1.191506,234.0,21.0,6,3,2025
